,player_id,fantasy_points_ppr
765,00-0034034,2.6
766,00-0034052,83.5
767,00-0034054,46.7
768,00-0034064,0.48
769,00-0034073,123.6
770,00-0034081,16.7
771,00-0034101,2.4
772,00-0034104,174.0
773,00-0034109,546.7
774,00-0034115,457.2
775,00-0034131,-0.1
776,00-0034132,53.7
777,00-0034159,308.7
778,00-0034160,-2.9
779,00-0034162,0.0
780,00-0034164,57.0
781,00-0034169,1.2
782,00-0034171,18.599998
783,00-0034177,20.46
784,00-0034179,2.6
785,00-0034184,388.4
786,00-0034192,10.3
787,00-0034193,2.8000002
788,00-0034201,4.7000003
789,00-0034203,6.0
790,00-0034207,0.0
791,00-0034208,108.2
792,00-0034221,7.1000004
793,00-0034253,215.8
794,00-0034256,4.7
795,00-0034258,9.1
796,00-0034267,4.2
797,00-0034268,3.5
798,00-0034270,342.2
799,00-0034272,603.6
800,00-0034273,75.7
801,00-0034278,6.7
802,00-0034279,169.6
803,00-0034286,288.5
804,00-0034297,288.4
805,00-0034301,392.8
806,00-0034309,69.0
807,00-0034311,9.2
808,00-0034317,65.5
809,00-0034319,21.7
810,00-0034331,215.6
811,00-0034335,0.4
812,00-0034339,74.3
813,00-0034342,0.0
814,00-0034343,127.66
815,00-0034348,677.96
816,00-0034349,296.2
817,00-0034351,733.3
818,00-0034353,381.72
819,00-0034355,0.3
820,00-0034358,57.4
821,00-0034360,6.0
822,00-0034361,0.2
823,00-0034364,374.0
824,00-0034365,234.90001
825,00-0034366,235.0
826,00-0034367,684.8
827,00-0034369,-2.2
828,00-0034370,192.3
829,00-0034378,197.7
830,00-0034383,584.3
831,00-0034386,125.3
832,00-0034389,13.6
833,00-0034391,2.3
834,00-0034393,37.8
835,00-0034395,4.3
836,00-0034399,0.5
837,00-0034400,191.0
838,00-0034401,100.6
839,00-0034406,21.4
840,00-0034407,173.5
841,00-0034411,583.76
842,00-0034412,8.64
843,00-0034414,377.6
844,00-0034418,249.04
845,00-0034419,293.58
846,00-0034420,76.3
847,00-0034426,70.6
848,00-0034427,3.6000001
849,00-0034432,46.3
850,00-0034433,8.7
851,00-0034435,0.0
852,00-0034437,0.8
853,00-0034438,0.6799999
854,00-0034439,54.3
855,00-0034440,301.0
856,00-0034445,0.0
857,00-0034449,9.8
858,00-0034457,119.9
859,00-0034473,6.0
860,00-0034487,175.4
861,00-0034489,6.7
862,00-0034490,3.6
863,00-0034496,1.6
864,00-0034499,8.0
865,00-0034509,13.0
866,00-0034510,117.1
867,00-0034512,1.9
868,00-0034521,557.1
869,00-0034532,5.7
870,00-0034560,1.3
871,00-0034565,8.8
872,00-0034577,272.86002
873,00-0034578,50.4
874,00-0034593,9.0
875,00-0034597,23.3
876,00-0034613,34.9
877,00-0034614,28.5
878,00-0034621,6.4
879,00-0034631,73.1
